Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
1429534,8.2,Vikas Bahl,"Adventure, Comedy, Drama",2013,60701
144501,8.2,Zaza Urushadze,"Drama, War",2013,40382
1626289,8.2,Rakeysh Omprakash Mehra,"Biography, Drama, Sport",2013,61137
23530892,8.2,Anurag Kashyap,"Action, Comedy, Crime",2012,82365
7461,8.2,Vikramaditya Motwane,Drama,2010,42341
39567,8.2,Tigmanshu Dhulia,"Action, Biography, Crime",2012,33237
6391436,8.2,Juan José Campanella,"Drama, Mystery, Romance",2009,193217
13657115,8.2,Gavin O'Connor,"Action, Drama, Sport",2011,435950
128012934,8.2,Martin Scorsese,"Mystery, Thriller",2010,1129894
293004164,8.2,Pete Docter,"Animation, Adventure, Comedy",2009,935507
116900694,8.2,Martin Scorsese,"Biography, Crime, Drama",2013,1187498
1113541,8.2,Shimit Amin,"Drama, Family, Sport",2007,74129
40222514,8.2,Paul Thomas Anderson,Drama,2007,517359
37634615,8.2,Guillermo del Toro,"Drama, Fantasy, War",2006,618623
415004880,8.2,Lee Unkrich,"Animation, Adventure, Comedy",2010,757032
70511035,8.2,James McTeigue,"Action, Drama, Sci-Fi",2005,1032749
2197331,8.2,Rakeysh Omprakash Mehra,"Comedy, Crime, Drama",2006,111937
733094,8.2,Sanjay Leela Bhansali,Drama,2005,33354
206852432,8.2,Christopher Nolan,"Action, Adventure",2005,1308302
1223240,8.2,Ashutosh Gowariker,Drama,2004,83005
5509040,8.2,Oliver Hirschbiegel,"Biography, Drama, History",2004,331308
4711096,8.2,Hayao Miyazaki,"Animation, Adventure, Family",2004,333915
170742341,8.2,Ron Howard,"Biography, Drama",2001,848920
23530892,8.2,Priyadarshan,"Action, Comedy, Crime",2000,57057
3897569,8.2,Guy Ritchie,"Action, Comedy, Crime",1998,535216
64616940,8.2,Curtis Hanson,"Crime, Drama, Mystery",1997,531967
23530892,8.2,Yavuz Turgul,"Crime, Drama, Thriller",1996,64118
67436818,8.2,Michael Mann,"Crime, Drama, Thriller",1995,577113
42438300,8.2,Martin Scorsese,"Crime, Drama",1995,466276
23530892,8.2,Rajkumar Santoshi,"Action, Comedy, Romance",1994,49300
101157447,8.2,Clint Eastwood,"Drama, Western",1992,375935
197171806,8.2,Steven Spielberg,"Action, Adventure",1989,692366
280015,8.2,Emir Kusturica,"Comedy, Crime, Drama",1988,26402
1105564,8.2,Hayao Miyazaki,"Animation, Family, Fantasy",1988,291180
83008852,8.2,John McTiernan,"Action, Thriller",1988,793164
4135750,8.2,Akira Kurosawa,"Action, Drama, War",1985,112505
23383987,8.2,Martin Scorsese,"Biography, Drama, Sport",1980,321860
234723,8.2,Andrei Tarkovsky,"Drama, Sci-Fi",1979,116945
23530892,8.2,Ingmar Bergman,"Drama, Music",1978,26875
23530892,8.2,Moustapha Akkad,"Biography, Drama, History",1976,43885
23530892,8.2,Ramesh Sippy,"Action, Adventure, Comedy",1975,51284
1229197,8.2,Terry Gilliam,"Adventure, Comedy, Fantasy",1975,500875
12100000,8.2,John Sturges,"Adventure, Drama, History",1963,224730
23530892,8.2,Robert Mulligan,"Crime, Drama",1962,293811
23530892,8.2,Akira Kurosawa,"Action, Drama, Thriller",1961,111244
23530892,8.2,Stanley Kramer,"Drama, War",1961,69458
25000000,8.2,Billy Wilder,"Comedy, Music, Romance",1959,243943
23530892,8.2,Ingmar Bergman,"Drama, Romance",1957,96381
23530892,8.2,Ingmar Bergman,"Drama, Fantasy, History",1957,164939
57226,8.2,Jules Dassin,"Crime, Drama, Thriller",1955,28810
12562,8.2,Alfred Hitchcock,"Crime, Thriller",1954,158335
23530892,8.2,Yasujirô Ozu,Drama,1953,53153
96568,8.2,Akira Kurosawa,"Crime, Drama, Mystery",1950,152572
10177,8.2,Joseph L. Mankiewicz,Drama,1950,120539
5014000,8.2,John Huston,"Adventure, Drama, Western",1948,114304
23530892,8.2,Ernst Lubitsch,"Comedy, War",1942,29915
5450000,8.2,Charles Chaplin,"Adventure, Comedy, Drama",1925,101053
977375,8.2,Buster Keaton,"Action, Comedy, Romance",1924,41985
3759854,8.1,Céline Sciamma,"Drama, Romance",2019,63134
1241223,8.1,Aniruddha Roy Chowdhury,"Drama, Thriller",2016,39216
23530892,8.1,Naoko Yamada,"Animation, Drama, Family",2016,47708
23530892,8.1,Oriol Paulo,"Crime, Drama, Mystery",2016,141516
2006788,8.1,Chan-wook Park,"Drama, Romance, Thriller",2016,113649
3492754,8.1,Xavier Dolan,Drama,2014,50700
901610,8.1,Vishal Bhardwaj,"Action, Crime, Drama",2014,50445
226277068,8.1,James Mangold,"Action, Drama, Sci-Fi",2017,647884
14677674,8.1,Lenny Abrahamson,"Drama, Thriller",2015,371538
3107072,8.1,Damián Szifron,"Comedy, Drama, Thriller",2014,177059
23530892,8.1,Pete Docter,"Animation, Adventure, Comedy",2020,159171
165520,8.1,Nuri Bilge Ceylan,Drama,2014,46547
10616104,8.1,Rajkumar Hirani,"Comedy, Drama, Musical",2014,163061
923221,8.1,Umesh Shukla,"Comedy, Drama, Fantasy",2012,51739
59100318,8.1,Wes Anderson,"Adventure, Comedy, Crime",2014,707630
167767189,8.1,David Fincher,"Drama, Mystery, Thriller",2014,859695
23530892,8.1,Mamoru Hosoda,"Animation, Drama, Fantasy",2012,38803
67209615,8.1,Mel Gibson,"Biography, Drama, History",2016,435928
356461711,8.1,Pete Docter,"Animation, Adventure, Comedy",2015,616228
2804874,8.1,Anurag Basu,"Comedy, Drama, Romance",2012,75721
56671993,8.1,Steve McQueen,"Biography, Drama, History",2013,640533
