Genre,IMDB_Rating,No_of_Votes,Gross,Released_Year
"Biography, Drama, Family",8.1,253575,23530892.0,2009
"Animation, Comedy, Drama",8.1,164462,23530892.0,2009
"Animation, Action, Adventure",8.1,666773,217581231.0,2010
"Adventure, Biography, Drama",8.1,572921,18354356.0,2007
"Crime, Drama, Thriller",8.1,856916,74283625.0,2007
"Comedy, Drama, Romance",8.1,43137,2217561.0,2006
"Drama, Sport",8.1,635975,100492203.0,2004
"Biography, Drama, History",8.1,334320,23530892.0,2004
"Action, Drama, War",8.1,37820,1111061.0,2004
"Drama, Romance",8.1,236311,5820649.0,2004
"Comedy, Drama, Musical",8.1,73992,23530892.0,2003
"Crime, Drama, Mystery",8.1,139558,14131.0,2003
"Comedy, Drama, Romance",8.1,66803,300000.0,2001
"Action, Crime, Drama",8.1,1000639,70099045.0,2003
"Animation, Adventure, Comedy",8.1,949565,380843261.0,2003
"Biography, Crime, Drama",8.1,832846,164615351.0,2002
"Drama, Thriller",8.1,223741,5383834.0,2000
"Animation, Adventure, Comedy",8.1,815505,289916256.0,2001
"Animation, Action, Drama",8.1,38847,23530892.0,1997
"Adventure, Drama, Musical",8.1,105036,70147.0,2001
"Drama, Mystery, Thriller",8.1,911573,293506292.0,1999
"Drama, Music, Romance",8.1,59020,259127.0,1998
"Comedy, Drama",8.1,939631,125618201.0,1998
"Comedy, Crime, Romance",8.1,50862,348660.0,1998
"Comedy, Crime, Sport",8.1,732620,17498804.0,1998
"Drama, Romance",8.1,124383,2734044.0,2000
Drama,8.1,634716,16501785.0,1996
"Crime, Drama, Thriller",8.1,617444,24611975.0,1996
"Comedy, Drama, War",8.1,55220,171082.0,1995
"Crime, Drama",8.1,150345,309811.0,1995
"Drama, Romance",8.1,63516,23530892.0,1995
"Drama, Romance",8.1,272291,5535405.0,1995
"Drama, Mystery, Romance",8.1,90729,4043686.0,1994
"Comedy, Crime, Drama",8.1,63122,600200.0,1994
"Action, Adventure, Sci-Fi",8.1,867615,402453882.0,1993
"Biography, Crime, Drama",8.1,156842,25010410.0,1993
"Drama, Music, Romance",8.1,25088,5216888.0,1993
"Drama, History, Romance",8.1,29662,2603061.0,1991
"Comedy, Drama",8.1,425457,95860116.0,1989
"Adventure, Drama",8.1,363401,52287414.0,1986
"Drama, War",8.1,381222,138530565.0,1986
Drama,8.1,91188,2181987.0,1984
"Animation, Adventure, Fantasy",8.1,150924,495770.0,1984
"Horror, Mystery, Sci-Fi",8.1,371271,13782838.0,1982
"Drama, Fantasy, Music",8.1,76081,22244207.0,1982
"Adventure, Drama",8.1,31595,23530892.0,1982
Drama,8.1,57784,4971340.0,1982
"Action, Sci-Fi, Thriller",8.1,693827,32868943.0,1982
"Biography, Drama",8.1,220078,23530892.0,1980
Comedy,8.1,367250,20045115.0,1979
"Drama, War",8.1,311361,48979328.0,1978
"Drama, Sport",8.1,518546,117235247.0,1976
Drama,8.1,144911,23530892.0,1976
"Adventure, Drama, History",8.1,149843,23530892.0,1975
