IMDB_Rating,No_of_Votes,Gross
7.7,492851,176040665.0
7.7,291257,220159104.0
7.7,47444,3358518.0
7.7,157498,3333000.0
7.7,32798,765127.0
7.7,404182,35893537.0
7.7,590440,128261724.0
7.7,344312,124872350.0
7.7,123210,6743776.0
7.7,580291,42340598.0
7.7,138741,2199675.0
7.7,32628,1122527.0
7.7,39379,175058.0
7.7,736182,259766572.0
7.7,39501,985912.0
7.7,112298,17654912.0
7.7,380195,189422889.0
7.7,56720,1339152.0
7.7,77071,71177.0
7.7,388089,56816662.0
7.7,323982,257760692.0
7.7,769145,274092705.0
7.7,463188,228778661.0
7.7,73964,83861.0
7.7,624982,96962694.0
7.7,645512,146408305.0
7.7,717559,277322503.0
7.7,630614,304360277.0
7.7,661871,132092958.0
7.7,572581,136025503.0
7.7,472242,32391374.0
7.7,479120,295983305.0
7.7,125317,15090400.0
7.7,103330,18593156.0
7.7,71379,881302.0
7.7,239203,35739802.0
7.7,81446,1752214.0
7.7,60368,
7.7,28630,
7.7,115576,327919.0
7.7,474141,25442958.0
7.7,32001,412544.0
7.7,175355,17605861.0
7.7,466080,33080084.0
7.7,299524,22494487.0
7.7,28003,1054361.0
7.7,61609,871577.0
7.7,405922,200821936.0
7.7,72643,4398392.0
7.7,323103,83043761.0
7.7,288797,53606916.0
7.7,419483,54580300.0
7.7,127250,17108591.0
7.7,434841,176241941.0
7.7,358432,1082715.0
7.7,138356,75331600.0
7.7,415074,44585453.0
7.7,548619,290013036.0
7.7,329592,77911774.0
7.7,197761,75286229.0
7.7,400049,111110575.0
7.7,25938,4890878.0
7.7,137981,4064200.0
7.7,40403,15539266.0
7.7,142863,40311852.0
7.7,178565,22245861.0
7.7,364254,108638745.0
7.7,246840,104454762.0
7.7,90842,141072.0
7.7,126770,21995263.0
7.7,31957,3029081.0
7.7,516372,183417150.0
7.7,29210,151086.0
7.7,286742,45512588.0
7.7,29999,
7.7,192112,52037603.0
7.7,241575,10824921.0
7.7,66408,2807390.0
7.7,390247,76631907.0
7.7,169229,17105219.0
7.7,64082,368234.0
7.7,312542,22858926.0
7.7,275755,148478011.0
7.7,434125,63540020.0
7.7,37424,4065116.0
7.7,279318,41909762.0
7.7,51350,35811509.0
7.7,189716,56116183.0
7.7,35991,4414535.0
7.7,32236,10019307.0
7.7,26429,
7.7,33600,21848932.0
7.7,211450,3151130.0
7.7,42275,6110979.0
7.7,224169,77324422.0
7.7,50298,27281507.0
7.7,85819,48169908.0
7.7,150409,75505856.0
7.7,77798,
7.7,95826,10725228.0
7.7,235388,141340178.0
7.7,66941,82418501.0
7.7,113240,6153939.0
7.7,125822,5080409.0
7.7,182009,156452370.0
7.7,33982,
7.7,40396,1544889.0
7.7,94326,43984230.0
7.7,115677,22238696.0
7.7,102031,7153487.0
7.7,181285,8551228.0
7.7,47102,10631333.0
7.7,59635,10600000.0
7.7,39881,11798616.0
7.7,36096,54000000.0
7.7,112704,78912963.0
7.7,226541,47212904.0
7.7,47099,54800000.0
7.7,214882,83400000.0
7.7,27014,
7.7,233106,47000000.0
7.7,39889,1924733.0
7.7,36037,
7.7,26729,
7.7,125993,119500000.0
7.7,109941,29800000.0
7.7,96561,25000000.0
7.7,98740,7056013.0
7.7,110075,15630710.0
7.7,143292,35900000.0
7.7,51913,
7.7,31572,44527234.0
7.7,67183,45300000.0
7.7,40274,26331.0
7.7,31222,28350000.0
7.7,48883,
7.7,35999,
7.7,174119,51081062.0
7.7,171739,11403529.0
7.7,26457,
7.7,31354,83957.0
7.7,87719,4905000.0
7.7,27620,52709.0
7.7,44839,
7.7,83363,
7.7,26464,
7.7,59415,
7.7,34677,10550000.0
7.7,76315,
7.7,71481,536118.0
7.7,27991,
7.7,88662,76408097.0
7.7,30683,
7.6,60408,
7.6,140840,26020957.0
7.6,551309,142502728.0
7.6,29765,566356.0
7.6,95181,5904366.0
7.6,46739,
7.6,99643,24801212.0
7.6,66346,13122642.0
7.6,52903,
7.6,35785,845464.0
7.6,569974,389813101.0
7.6,439406,107825862.0
7.6,58371,18340051.0
7.6,287659,72313754.0
7.6,250057,608581744.0
7.6,272784,248757044.0
7.6,371291,46889293.0
7.6,247666,109767581.0
7.6,49397,1092800.0
7.6,204175,26862450.0
7.6,94212,37707719.0
7.6,411599,208545589.0
7.6,57549,
7.6,190531,4105123.0
7.6,228132,41003371.0
7.6,80939,19202743.0
7.6,334312,215288866.0
7.6,311822,171243005.0
7.6,38491,1008098.0
7.6,500851,251513985.0
7.6,315426,35014192.0
7.6,524081,48071303.0
7.6,63882,
7.6,369529,75605492.0
7.6,138959,3185812.0
7.6,520041,75590286.0
7.6,102742,
7.6,583158,209028679.0
7.6,293266,255959475.0
7.6,41544,9422422.0
7.6,286770,69951824.0
7.6,227760,17114882.0
7.6,255036,38634938.0
7.6,31779,686383.0
7.6,339757,88513495.0
7.6,250590,20300218.0
7.6,82781,10301706.0
7.6,72863,24633730.0
7.6,354728,39868642.0
7.6,49728,6013.0
7.6,474827,301959197.0
7.6,732876,210614939.0
7.6,206294,23089926.0
7.6,500799,107509799.0
7.6,294140,24149632.0
7.6,379020,56000369.0
7.6,83158,3081925.0
7.6,65939,697181.0
7.6,67360,548707.0
7.6,70925,6167817.0
7.6,67370,5739376.0
7.6,224545,16290476.0
7.6,62659,45289.0
7.6,198677,51680613.0
7.6,169708,13060843.0
7.6,451479,57938693.0
7.6,376853,45064915.0
7.6,169091,
7.6,266842,52364010.0
7.6,115827,13622333.0
7.6,658185,317575550.0
7.6,337651,96522687.0
7.6,240714,52990775.0
7.6,243729,51401758.0
7.6,508417,132072926.0
7.6,91557,50668906.0
7.6,490062,15070285.0
7.6,188317,7267585.0
7.6,172710,36400491.0
7.6,256906,120620254.0
7.6,259753,10680275.0
7.6,65058,
7.6,187927,14378331.0
7.6,186734,49100000.0
7.6,131101,3796699.0
7.6,102598,43182776.0
7.6,364420,100012499.0
7.6,90442,1037847.0
7.6,73172,71516617.0
7.6,269197,173837933.0
7.6,64390,1464625.0
7.6,171640,40903593.0
7.6,165465,7993039.0
7.6,107325,52929168.0
7.6,27071,453243.0
7.6,80487,1794187.0
7.6,488817,285761243.0
7.6,359809,66666062.0
7.6,195663,92823600.0
7.6,237696,111543479.0
7.6,152871,78756177.0
7.6,124773,49530280.0
7.6,236894,65207127.0
7.6,87745,2150000.0
7.6,27650,119285432.0
7.6,166588,12465371.0
7.6,93878,22490039.0
7.6,32802,76657000.0
7.6,121731,43000000.0
7.6,33656,
7.6,73662,35000000.0
7.6,184966,132088635.0
7.6,26337,959000.0
7.6,30144,696690.0
7.6,45338,1378435.0
7.6,166409,141843612.0
7.6,56513,
7.6,40351,13780024.0
7.6,166544,
7.6,34075,
7.6,43374,30500000.0
7.6,26471,
7.6,51853,
