IMDB_Rating,Meta_score,Gross
8.1,82.0,14131.0
8.1,79.0,300000.0
8.1,69.0,70099045.0
8.1,90.0,380843261.0
8.1,75.0,164615351.0
8.1,83.0,5383834.0
8.1,79.0,289916256.0
8.1,79.0,23530892.0
8.1,84.0,70147.0
8.1,64.0,293506292.0
8.1,58.0,259127.0
8.1,90.0,125618201.0
8.1,73.0,348660.0
8.1,71.0,17498804.0
8.1,85.0,2734044.0
8.1,83.0,16501785.0
8.1,85.0,24611975.0
8.1,79.0,171082.0
8.1,79.0,309811.0
8.1,79.0,23530892.0
8.1,77.0,5535405.0
8.1,100.0,4043686.0
8.1,77.0,600200.0
8.1,68.0,402453882.0
8.1,84.0,25010410.0
8.1,79.0,5216888.0
8.1,79.0,2603061.0
8.1,79.0,95860116.0
8.1,75.0,52287414.0
8.1,92.0,138530565.0
8.1,78.0,2181987.0
8.1,86.0,495770.0
